_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
149,2016-02-01T00:00:00,147.6,130,130.8,77.5,38,16.4,Tax,Taxe
150,2016-02-01T00:00:00,200,186.6,190.9,135.5,90,64.2,Total,Totale
151,2016-03-01T00:00:00,51.4,57.5,59.3,56,58.3,53,Base,Base
152,2016-03-01T00:00:00,141.3,125.7,126.1,75.6,38.3,15.7,Tax,Taxe
153,2016-03-01T00:00:00,192.7,183.2,185.4,131.6,96.6,68.7,Total,Totale
154,2016-04-01T00:00:00,55.6,63.2,63.3,60,63.1,56.2,Base,Base
155,2016-04-01T00:00:00,138.8,125.3,125.7,75.8,38.5,15.2,Tax,Taxe
156,2016-04-01T00:00:00,194.4,188.5,189,135.8,101.6,71.4,Total,Totale
157,2016-05-01T00:00:00,61.4,68.3,67.2,63.7,68.6,62.2,Base,Base
158,2016-05-01T00:00:00,143,127,127.2,77.5,38.8,15.4,Tax,Taxe
159,2016-05-01T00:00:00,204.4,195.3,194.4,141.2,107.4,77.6,Total,Totale
160,2016-06-01T00:00:00,63.3,69.2,69.5,70.9,70.3,65.2,Base,Base
161,2016-06-01T00:00:00,139.8,126,126.6,80.1,38.9,15.3,Tax,Taxe
162,2016-06-01T00:00:00,203.1,195.2,196.1,151,109.2,80.5,Total,Totale
163,2016-07-01T00:00:00,61,67.1,64.7,73.4,65.5,61.1,Base,Base
164,2016-07-01T00:00:00,132.9,126.7,126.9,83.5,38.7,15.7,Tax,Taxe
165,2016-07-01T00:00:00,193.9,193.8,191.6,156.9,104.2,76.8,Total,Totale
166,2016-08-01T00:00:00,57.3,64.7,60.8,72.5,65.8,59.3,Base,Base
167,2016-08-01T00:00:00,130,125.9,125.5,84,38.6,15.5,Tax,Taxe
168,2016-08-01T00:00:00,187.3,190.6,186.3,156.5,104.4,74.8,Total,Totale
169,2016-09-01T00:00:00,59.8,66.6,63,73.9,66.4,61.2,Base,Base
170,2016-09-01T00:00:00,131.7,127,126.9,84,38.7,15.6,Tax,Taxe
171,2016-09-01T00:00:00,191.5,193.6,189.9,157.9,105.1,76.8,Total,Totale
172,2016-10-01T00:00:00,60.3,68.2,67,75.2,69.3,63,Base,Base
173,2016-10-01T00:00:00,125.6,126.8,126.9,83.8,38.9,15.8,Tax,Taxe
174,2016-10-01T00:00:00,185.9,195,193.9,159,108.2,78.8,Total,Totale
175,2016-11-01T00:00:00,63.8,66.4,65.4,75,63.4,61.4,Base,Base
176,2016-11-01T00:00:00,128.7,125.4,125.8,81.6,38.6,16,Tax,Taxe
177,2016-11-01T00:00:00,192.5,191.8,191.2,156.6,102,77.4,Total,Totale
178,2016-12-01T00:00:00,62.3,70,67.5,71.9,69.6,63.7,Base,Base
179,2016-12-01T00:00:00,128.5,83,122.9,75.8,38.9,15.9,Tax,Taxe
180,2016-12-01T00:00:00,190.8,153,190.4,147.7,108.5,79.6,Total,Totale
181,2017-01-01T00:00:00,66.7,73.2,72.5,74.5,74.4,66.3,Base,Base
182,2017-01-01T00:00:00,127,123.1,125.3,76,39.1,15.7,Tax,Taxe
183,2017-01-01T00:00:00,193.7,196.3,197.8,150.5,113.5,82,Total,Totale
